Date,Gas_prices
1/1/2007,2.61
1/8/2007,2.632
1/15/2007,2.583
1/22/2007,2.538
1/29/2007,2.491
2/5/2007,2.535
2/12/2007,2.632
2/19/2007,2.71
2/26/2007,2.796
3/5/2007,2.897
3/12/2007,3.068
3/19/2007,3.121
3/26/2007,3.152
4/2/2007,3.228
4/9/2007,3.252
4/16/2007,3.305
4/23/2007,3.316
4/30/2007,3.359
5/7/2007,3.461
5/14/2007,3.45
5/21/2007,3.436
5/28/2007,3.407
6/4/2007,3.374
6/11/2007,3.32
6/18/2007,3.236
6/25/2007,3.192
7/2/2007,3.157
7/9/2007,3.136
7/16/2007,3.158
7/23/2007,3.118
7/30/2007,3.06
8/6/2007,3.016
8/13/2007,2.928
8/20/2007,2.862
8/27/2007,2.791
9/3/2007,2.791
9/10/2007,2.839
9/17/2007,2.904
9/24/2007,2.961
10/1/2007,2.973
10/8/2007,2.996
10/15/2007,3.053
10/22/2007,3.143
10/29/2007,3.159
11/5/2007,3.231
11/12/2007,3.366
11/19/2007,3.395
11/26/2007,3.398
12/3/2007,3.361
12/10/2007,3.329
12/17/2007,3.285
12/24/2007,3.261
12/31/2007,3.298
1/7/2008,3.328
1/14/2008,3.29
1/21/2008,3.226
1/28/2008,3.148
2/4/2008,3.107
2/11/2008,3.108
2/18/2008,3.191
2/25/2008,3.328
3/3/2008,3.459
3/10/2008,3.537
3/17/2008,3.604
3/24/2008,3.602
3/31/2008,3.608
4/7/2008,3.685
4/14/2008,3.774
4/21/2008,3.846
4/28/2008,3.892
5/5/2008,3.903
5/12/2008,3.919
5/19/2008,3.952
5/26/2008,4.099
6/2/2008,4.242
6/9/2008,4.433
6/16/2008,4.588
6/23/2008,4.585
6/30/2008,4.573
7/7/2008,4.55
7/14/2008,4.52
7/21/2008,4.46
7/28/2008,4.317
8/4/2008,4.205
8/11/2008,4.118
8/18/2008,4.037
8/25/2008,3.955
9/1/2008,3.905
9/8/2008,3.859
9/15/2008,3.804
9/22/2008,3.725
9/29/2008,3.67
10/6/2008,3.601
10/13/2008,3.47
10/20/2008,3.355
10/27/2008,3.13
11/3/2008,2.783
11/10/2008,2.555
