Date,Gas_prices
1/1/2007,2.4
1/8/2007,2.385
1/15/2007,2.336
1/22/2007,2.28
1/29/2007,2.239
2/5/2007,2.24
2/12/2007,2.264
2/19/2007,2.315
2/26/2007,2.409
3/5/2007,2.578
3/12/2007,2.612
3/19/2007,2.618
3/26/2007,2.647
4/2/2007,2.729
4/9/2007,2.847
4/16/2007,2.944
4/23/2007,2.946
4/30/2007,3.01
5/7/2007,3.026
5/14/2007,3.027
5/21/2007,3.161
5/28/2007,3.163
6/4/2007,3.132
6/11/2007,3.077
6/18/2007,3.021
6/25/2007,2.983
7/2/2007,2.956
7/9/2007,2.963
7/16/2007,3.028
7/23/2007,2.983
7/30/2007,2.929
8/6/2007,2.875
8/13/2007,2.808
8/20/2007,2.778
8/27/2007,2.754
9/3/2007,2.778
9/10/2007,2.835
9/17/2007,2.849
9/24/2007,2.894
10/1/2007,2.896
10/8/2007,2.87
10/15/2007,2.849
10/22/2007,2.893
10/29/2007,2.939
11/5/2007,3.073
11/12/2007,3.198
11/19/2007,3.2
11/26/2007,3.195
12/3/2007,3.174
12/10/2007,3.125
12/17/2007,3.103
12/24/2007,3.085
12/31/2007,3.15
1/7/2008,3.207
1/14/2008,3.187
1/21/2008,3.133
1/28/2008,3.102
2/4/2008,3.078
2/11/2008,3.052
2/18/2008,3.136
2/25/2008,3.272
3/3/2008,3.291
3/10/2008,3.323
3/17/2008,3.386
3/24/2008,3.372
3/31/2008,3.369
4/7/2008,3.422
4/14/2008,3.459
4/21/2008,3.577
4/28/2008,3.676
5/5/2008,3.679
5/12/2008,3.77
5/19/2008,3.866
5/26/2008,3.996
6/2/2008,4
6/9/2008,4.049
6/16/2008,4.085
6/23/2008,4.079
6/30/2008,4.091
7/7/2008,4.122
7/14/2008,4.116
7/21/2008,4.105
7/28/2008,4.035
8/4/2008,3.955
8/11/2008,3.87
8/18/2008,3.792
8/25/2008,3.732
9/1/2008,3.746
9/8/2008,3.732
9/15/2008,3.916
9/22/2008,3.823
9/29/2008,3.771
10/6/2008,3.66
10/13/2008,3.358
10/20/2008,3.019
10/27/2008,2.735
11/3/2008,2.467
11/10/2008,2.291
11/17/2008,2.168
11/24/2008,2.021
12/1/2008,1.926
12/8/2008,1.815
12/15/2008,1.751
12/22/2008,1.753
12/29/2008,1.713
1/5/2009,1.745
1/12/2009,1.879
1/19/2009,1.944
1/26/2009,1.945
2/2/2009,1.986
2/9/2009,2.024
2/16/2009,2.069
2/23/2009,2.018
3/2/2009,2.022
3/9/2009,2.03
