Date,Gas_prices
1/1/2007,2.236
1/8/2007,2.198
1/15/2007,2.14
1/22/2007,2.086
1/29/2007,2.057
2/5/2007,2.083
2/12/2007,2.125
2/19/2007,2.168
2/26/2007,2.265
3/5/2007,2.393
3/12/2007,2.43
3/19/2007,2.44
3/26/2007,2.474
4/2/2007,2.609
4/9/2007,2.716
4/16/2007,2.797
4/23/2007,2.792
4/30/2007,2.891
5/7/2007,2.907
5/14/2007,2.949
5/21/2007,3.113
5/28/2007,3.096
6/4/2007,3.045
6/11/2007,2.993
6/18/2007,2.938
6/25/2007,2.915
7/2/2007,2.886
7/9/2007,2.893
7/16/2007,2.961
7/23/2007,2.908
7/30/2007,2.837
8/6/2007,2.798
8/13/2007,2.73
8/20/2007,2.725
8/27/2007,2.703
9/3/2007,2.692
9/10/2007,2.731
9/17/2007,2.717
9/24/2007,2.741
10/1/2007,2.738
10/8/2007,2.702
10/15/2007,2.681
10/22/2007,2.742
10/29/2007,2.765
11/5/2007,2.926
11/12/2007,3.015
11/19/2007,3.003
11/26/2007,3
12/3/2007,2.975
12/10/2007,2.916
12/17/2007,2.893
12/24/2007,2.88
12/31/2007,2.959
1/7/2008,3.013
1/14/2008,2.995
1/21/2008,2.947
1/28/2008,2.922
2/4/2008,2.914
2/11/2008,2.895
2/18/2008,2.974
2/25/2008,3.086
3/3/2008,3.124
3/10/2008,3.168
3/17/2008,3.218
3/24/2008,3.209
3/31/2008,3.256
4/7/2008,3.303
4/14/2008,3.337
4/21/2008,3.462
4/28/2008,3.556
5/5/2008,3.558
5/12/2008,3.665
5/19/2008,3.744
5/26/2008,3.881
6/2/2008,3.897
6/9/2008,3.957
6/16/2008,3.997
6/23/2008,3.976
6/30/2008,3.98
7/7/2008,4.004
7/14/2008,4.016
7/21/2008,3.993
7/28/2008,3.899
8/4/2008,3.811
8/11/2008,3.727
8/18/2008,3.638
8/25/2008,3.547
9/1/2008,3.597
9/8/2008,3.57
9/15/2008,3.757
9/22/2008,3.695
9/29/2008,3.617
10/6/2008,3.431
10/13/2008,3.001
10/20/2008,2.74
10/27/2008,2.449
11/3/2008,2.215
11/10/2008,2.082
11/17/2008,1.966
11/24/2008,1.829
12/1/2008,1.766
12/8/2008,1.678
12/15/2008,1.599
12/22/2008,1.598
12/29/2008,1.542
1/5/2009,1.589
1/12/2009,1.674
1/19/2009,1.762
1/26/2009,1.764
2/2/2009,1.838
2/9/2009,1.865
2/16/2009,1.866
2/23/2009,1.812
3/2/2009,1.852
3/9/2009,1.848
3/16/2009,1.842
3/23/2009,1.917
3/30/2009,2.013
4/6/2009,2.007
4/13/2009,2.016
4/20/2009,2.02
4/27/2009,2
5/4/2009,2.009
5/11/2009,2.186
5/18/2009,2.259
5/25/2009,2.367
6/1/2009,2.435
6/8/2009,2.521
6/15/2009,2.572
6/22/2009,2.596
6/29/2009,2.553
7/6/2009,2.493
7/13/2009,2.414
7/20/2009,2.358
7/27/2009,2.422
8/3/2009,2.486
8/10/2009,2.582
8/17/2009,2.58
8/24/2009,2.557
8/31/2009,2.519
9/7/2009,2.46
9/14/2009,2.436
9/21/2009,2.409
9/28/2009,2.358
10/5/2009,2.343
10/12/2009,2.37
10/19/2009,2.482
10/26/2009,2.59
11/2/2009,2.607
11/9/2009,2.569
11/16/2009,2.539
11/23/2009,2.552
11/30/2009,2.536
12/7/2009,2.552
12/14/2009,2.516
12/21/2009,2.488
12/28/2009,2.512
1/4/2010,2.564
1/11/2010,2.65
1/18/2010,2.653
1/25/2010,2.619
2/1/2010,2.572
2/8/2010,2.548
2/15/2010,2.514
2/22/2010,2.561
3/1/2010,2.625
3/8/2010,2.667
3/15/2010,2.72
3/22/2010,2.732
3/29/2010,2.719
4/5/2010,2.77
4/12/2010,2.808
4/19/2010,2.795
4/26/2010,2.78
5/3/2010,2.835
5/10/2010,2.854
5/17/2010,2.826
5/24/2010,2.759
5/31/2010,2.705
6/7/2010,2.668
6/14/2010,2.637
6/21/2010,2.653
6/28/2010,2.669
7/5/2010,2.642
7/12/2010,2.623
7/19/2010,2.608
7/26/2010,2.64
8/2/2010,2.627
8/9/2010,2.692
8/16/2010,2.664
8/23/2010,2.619
8/30/2010,2.577
9/6/2010,2.565
9/13/2010,2.582
9/20/2010,2.624
9/27/2010,2.603
10/4/2010,2.633
10/11/2010,2.72
10/18/2010,2.725
10/25/2010,2.716
11/1/2010,2.689
11/8/2010,2.728
11/15/2010,2.771
11/22/2010,2.735
11/29/2010,2.708
12/6/2010,2.843
12/13/2010,2.869
12/20/2010,2.886
12/27/2010,2.943
1/3/2011,2.976
1/10/2011,2.983
1/17/2011,3.016
1/24/2011,3.01
1/31/2011,2.989
2/7/2011,3.022
2/14/2011,3.045
2/21/2011,3.065
2/28/2011,3.288
3/7/2011,3.459
3/14/2011,3.488
3/21/2011,3.473
3/28/2011,3.524
4/4/2011,3.622
4/11/2011,3.743
4/18/2011,3.807
4/25/2011,3.81
5/2/2011,3.906
5/9/2011,3.899
5/16/2011,3.907
5/23/2011,3.786
5/30/2011,3.699
6/6/2011,3.648
6/13/2011,3.637
6/20/2011,3.594
6/27/2011,3.524
7/4/2011,3.48
7/11/2011,3.575
7/18/2011,3.651
7/25/2011,3.682
8/1/2011,3.684
8/8/2011,3.638
8/15/2011,3.554
8/22/2011,3.523
8/29/2011,3.533
9/5/2011,3.546
9/12/2011,3.526
9/19/2011,3.467
9/26/2011,3.355
