Date,Gas_prices
"Jan 01, 2007",2.61
"Jan 08, 2007",2.632
"Jan 15, 2007",2.583
"Jan 22, 2007",2.538
"Jan 29, 2007",2.491
"Feb 05, 2007",2.535
"Feb 12, 2007",2.632
"Feb 19, 2007",2.71
"Feb 26, 2007",2.796
"Mar 05, 2007",2.897
"Mar 12, 2007",3.068
"Mar 19, 2007",3.121
"Mar 26, 2007",3.152
"Apr 02, 2007",3.228
"Apr 09, 2007",3.252
"Apr 16, 2007",3.305
"Apr 23, 2007",3.316
"Apr 30, 2007",3.359
"May 07, 2007",3.461
"May 14, 2007",3.45
"May 21, 2007",3.436
"May 28, 2007",3.407
"Jun 04, 2007",3.374
"Jun 11, 2007",3.32
"Jun 18, 2007",3.236
"Jun 25, 2007",3.192
"Jul 02, 2007",3.157
"Jul 09, 2007",3.136
"Jul 16, 2007",3.158
"Jul 23, 2007",3.118
"Jul 30, 2007",3.06
"Aug 06, 2007",3.016
"Aug 13, 2007",2.928
"Aug 20, 2007",2.862
"Aug 27, 2007",2.791
"Sep 03, 2007",2.791
"Sep 10, 2007",2.839
"Sep 17, 2007",2.904
"Sep 24, 2007",2.961
"Oct 01, 2007",2.973
"Oct 08, 2007",2.996
"Oct 15, 2007",3.053
"Oct 22, 2007",3.143
"Oct 29, 2007",3.159
"Nov 05, 2007",3.231
"Nov 12, 2007",3.366
"Nov 19, 2007",3.395
"Nov 26, 2007",3.398
"Dec 03, 2007",3.361
"Dec 10, 2007",3.329
"Dec 17, 2007",3.285
"Dec 24, 2007",3.261
"Dec 31, 2007",3.298
"Jan 07, 2008",3.328
"Jan 14, 2008",3.29
"Jan 21, 2008",3.226
"Jan 28, 2008",3.148
"Feb 04, 2008",3.107
"Feb 11, 2008",3.108
"Feb 18, 2008",3.191
"Feb 25, 2008",3.328
"Mar 03, 2008",3.459
"Mar 10, 2008",3.537
"Mar 17, 2008",3.604
"Mar 24, 2008",3.602
"Mar 31, 2008",3.608
"Apr 07, 2008",3.685
"Apr 14, 2008",3.774
"Apr 21, 2008",3.846
"Apr 28, 2008",3.892
"May 05, 2008",3.903
"May 12, 2008",3.919
"May 19, 2008",3.952
"May 26, 2008",4.099
"Jun 02, 2008",4.242
"Jun 09, 2008",4.433
"Jun 16, 2008",4.588
"Jun 23, 2008",4.585
"Jun 30, 2008",4.573
"Jul 07, 2008",4.55
"Jul 14, 2008",4.52
"Jul 21, 2008",4.46
"Jul 28, 2008",4.317
"Aug 04, 2008",4.205
"Aug 11, 2008",4.118
"Aug 18, 2008",4.037
"Aug 25, 2008",3.955
"Sep 01, 2008",3.905
"Sep 08, 2008",3.859
"Sep 15, 2008",3.804
"Sep 22, 2008",3.725
"Sep 29, 2008",3.67
"Oct 06, 2008",3.601
"Oct 13, 2008",3.47
"Oct 20, 2008",3.355
"Oct 27, 2008",3.13
"Nov 03, 2008",2.783
"Nov 10, 2008",2.555
"Nov 17, 2008",2.374
"Nov 24, 2008",2.112
"Dec 01, 2008",1.955
"Dec 08, 2008",1.805
"Dec 15, 2008",1.738
"Dec 22, 2008",1.806
"Dec 29, 2008",1.81
"Jan 05, 2009",1.874
"Jan 12, 2009",1.988
"Jan 19, 2009",2.064
"Jan 26, 2009",2.095
"Feb 02, 2009",2.113
"Feb 09, 2009",2.215
"Feb 16, 2009",2.291
"Feb 23, 2009",2.261
"Mar 02, 2009",2.189
"Mar 09, 2009",2.196
"Mar 16, 2009",2.162
"Mar 23, 2009",2.154
"Mar 30, 2009",2.248
"Apr 06, 2009",2.308
"Apr 13, 2009",2.336
"Apr 20, 2009",2.34
"Apr 27, 2009",2.34
"May 04, 2009",2.355
"May 11, 2009",2.424
"May 18, 2009",2.524
"May 25, 2009",2.637
"Jun 01, 2009",2.756
"Jun 08, 2009",2.891
"Jun 15, 2009",2.979
"Jun 22, 2009",3.005
"Jun 29, 2009",2.984
"Jul 06, 2009",2.952
"Jul 13, 2009",2.88
"Jul 20, 2009",2.829
"Jul 27, 2009",2.829
"Aug 03, 2009",2.896
"Aug 10, 2009",3.04
"Aug 17, 2009",3.047
"Aug 24, 2009",3.031
"Aug 31, 2009",3.037
"Sep 07, 2009",3.099
"Sep 14, 2009",3.153
"Sep 21, 2009",3.14
"Sep 28, 2009",3.098
"Oct 05, 2009",3.069
"Oct 12, 2009",3.015
"Oct 19, 2009",2.988
"Oct 26, 2009",2.985
"Nov 02, 2009",2.987
"Nov 09, 2009",2.981
"Nov 16, 2009",2.961
"Nov 23, 2009",2.94
"Nov 30, 2009",2.921
"Dec 07, 2009",2.912
"Dec 14, 2009",2.903
"Dec 21, 2009",2.912
"Dec 28, 2009",2.933
"Jan 04, 2010",2.987
"Jan 11, 2010",3.046
"Jan 18, 2010",3.026
"Jan 25, 2010",3.008
"Feb 01, 2010",2.975
"Feb 08, 2010",2.961
"Feb 15, 2010",2.926
"Feb 22, 2010",2.918
"Mar 01, 2010",2.999
"Mar 08, 2010",3.046
"Mar 15, 2010",3.061
"Mar 22, 2010",3.091
"Mar 29, 2010",3.087
"Apr 05, 2010",3.088
"Apr 12, 2010",3.096
"Apr 19, 2010",3.09
"Apr 26, 2010",3.088
"May 03, 2010",3.118
"May 10, 2010",3.139
"May 17, 2010",3.118
"May 24, 2010",3.049
"May 31, 2010",3.024
"Jun 07, 2010",3.068
"Jun 14, 2010",3.053
"Jun 21, 2010",3.1
"Jun 28, 2010",3.126
"Jul 05, 2010",3.117
"Jul 12, 2010",3.113
"Jul 19, 2010",3.13
"Jul 26, 2010",3.134
"Aug 02, 2010",3.129
"Aug 09, 2010",3.172
"Aug 16, 2010",3.165
"Aug 23, 2010",3.14
"Aug 30, 2010",3.092
"Sep 06, 2010",3.041
"Sep 13, 2010",3.026
"Sep 20, 2010",3.005
"Sep 27, 2010",2.996
"Oct 04, 2010",3.013
"Oct 11, 2010",3.089
"Oct 18, 2010",3.147
"Oct 25, 2010",3.143
"Nov 01, 2010",3.145
"Nov 08, 2010",3.141
"Nov 15, 2010",3.175
"Nov 22, 2010",3.171
"Nov 29, 2010",3.152
"Dec 06, 2010",3.216
"Dec 13, 2010",3.25
"Dec 20, 2010",3.247
"Dec 27, 2010",3.287
"Jan 03, 2011",3.308
"Jan 10, 2011",3.332
"Jan 17, 2011",3.349
"Jan 24, 2011",3.357
"Jan 31, 2011",3.364
"Feb 07, 2011",3.397
"Feb 14, 2011",3.447
"Feb 21, 2011",3.555
"Feb 28, 2011",3.719
"Mar 07, 2011",3.874
"Mar 14, 2011",3.954
"Mar 21, 2011",3.966
"Mar 28, 2011",4.028
"Apr 04, 2011",4.057
"Apr 11, 2011",4.161
"Apr 18, 2011",4.205
"Apr 25, 2011",4.217
"May 02, 2011",4.257
"May 09, 2011",4.254
"May 16, 2011",4.218
"May 23, 2011",4.121
"May 30, 2011",4.056
"Jun 06, 2011",3.994
"Jun 13, 2011",3.94
"Jun 20, 2011",3.9
"Jun 27, 2011",3.839
"Jul 04, 2011",3.794
"Jul 11, 2011",3.778
"Jul 18, 2011",3.8
"Jul 25, 2011",3.818
"Aug 01, 2011",3.811
"Aug 08, 2011",3.798
"Aug 15, 2011",3.734
"Aug 22, 2011",3.734
"Aug 29, 2011",3.809
"Sep 05, 2011",3.944
"Sep 12, 2011",3.944
"Sep 19, 2011",3.923
"Sep 26, 2011",3.887
"Oct 03, 2011",3.835
"Oct 10, 2011",3.815
"Oct 17, 2011",3.864
"Oct 24, 2011",3.858
"Oct 31, 2011",3.846
"Nov 07, 2011",3.855
"Nov 14, 2011",3.84
"Nov 21, 2011",3.786
"Nov 28, 2011",3.718
"Dec 05, 2011",3.655
"Dec 12, 2011",3.611
"Dec 19, 2011",3.556
"Dec 26, 2011",3.576
"Jan 02, 2012",3.635
"Jan 09, 2012",3.707
"Jan 16, 2012",3.7
"Jan 23, 2012",3.714
"Jan 30, 2012",3.741
"Feb 06, 2012",3.758
"Feb 13, 2012",3.835
"Feb 20, 2012",4.035
"Feb 27, 2012",4.292
"Mar 05, 2012",4.358
"Mar 12, 2012",4.376
"Mar 19, 2012",4.375
"Mar 26, 2012",4.359
"Apr 02, 2012",4.322
"Apr 09, 2012",4.28
"Apr 16, 2012",4.235
"Apr 23, 2012",4.203
"Apr 30, 2012",4.186
"May 07, 2012",4.213
"May 14, 2012",4.367
"May 21, 2012",4.336
"May 28, 2012",4.312
"Jun 04, 2012",4.26
"Jun 11, 2012",4.164
"Jun 18, 2012",4.029
"Jun 25, 2012",3.887
"Jul 02, 2012",3.773
"Jul 09, 2012",3.733
"Jul 16, 2012",3.753
"Jul 23, 2012",3.808
"Jul 30, 2012",3.802
"Aug 06, 2012",3.868
"Aug 13, 2012",4.096
"Aug 20, 2012",4.129
"Aug 27, 2012",4.158
"Sep 03, 2012",4.176
"Sep 10, 2012",4.178
"Sep 17, 2012",4.155
"Sep 24, 2012",4.151
"Oct 01, 2012",4.176
"Oct 08, 2012",4.659
"Oct 15, 2012",4.623
"Oct 22, 2012",4.432
"Oct 29, 2012",4.169
"Nov 05, 2012",3.996
"Nov 12, 2012",3.858
"Nov 19, 2012",3.783
"Nov 26, 2012",3.747
"Dec 03, 2012",3.696
"Dec 10, 2012",3.619
"Dec 17, 2012",3.525
"Dec 24, 2012",3.506
"Dec 31, 2012",3.554
"Jan 07, 2013",3.605
"Jan 14, 2013",3.615
"Jan 21, 2013",3.63
"Jan 28, 2013",3.676
"Feb 04, 2013",3.904
"Feb 11, 2013",4.044
"Feb 18, 2013",4.154
"Feb 25, 2013",4.211
"Mar 04, 2013",4.212
"Mar 11, 2013",4.174
"Mar 18, 2013",4.12
"Mar 25, 2013",4.069
"Apr 01, 2013",4.053
"Apr 08, 2013",4.033
"Apr 15, 2013",3.992
"Apr 22, 2013",3.934
"Apr 29, 2013",3.905
"May 06, 2013",3.911
"May 13, 2013",4.04
"May 20, 2013",4.048
"May 27, 2013",4.022
"Jun 03, 2013",3.977
"Jun 10, 2013",3.969
"Jun 17, 2013",3.989
"Jun 24, 2013",4.075
"Jul 01, 2013",4.002
"Jul 08, 2013",3.985
"Jul 15, 2013",4.015
"Jul 22, 2013",4.036
"Jul 29, 2013",4.002
"Aug 05, 2013",3.95
"Aug 12, 2013",3.901
"Aug 19, 2013",3.83
"Aug 26, 2013",3.802
"Sep 02, 2013",3.822
"Sep 09, 2013",3.899
"Sep 16, 2013",4.051
"Sep 23, 2013",4.005
"Sep 30, 2013",3.932
"Oct 07, 2013",3.85
"Oct 14, 2013",3.791
"Oct 21, 2013",3.766
"Oct 28, 2013",3.718
"Nov 04, 2013",3.665
"Nov 11, 2013",3.603
"Nov 18, 2013",3.56
"Nov 25, 2013",3.547
"Dec 02, 2013",3.576
"Dec 09, 2013",3.58
"Dec 16, 2013",3.574
"Dec 23, 2013",3.594
"Dec 30, 2013",3.647
"Jan 06, 2014",3.667
"Jan 13, 2014",3.635
"Jan 20, 2014",3.589
"Jan 27, 2014",3.582
"Feb 03, 2014",3.59
"Feb 10, 2014",3.626
"Feb 17, 2014",3.697
"Feb 24, 2014",3.795
"Mar 03, 2014",3.855
"Mar 10, 2014",3.897
"Mar 17, 2014",3.958
"Mar 24, 2014",3.969
"Mar 31, 2014",3.997
"Apr 07, 2014",4.028
"Apr 14, 2014",4.156
"Apr 21, 2014",4.206
"Apr 28, 2014",4.254
"May 05, 2014",4.222
"May 12, 2014",4.169
"May 19, 2014",4.159
"May 26, 2014",4.135
"Jun 02, 2014",4.127
"Jun 09, 2014",4.106
"Jun 16, 2014",4.102
"Jun 23, 2014",4.102
"Jun 30, 2014",4.132
"Jul 07, 2014",4.128
"Jul 14, 2014",4.09
"Jul 21, 2014",4.034
"Jul 28, 2014",3.991
"Aug 04, 2014",3.948
"Aug 11, 2014",3.926
"Aug 18, 2014",3.898
"Aug 25, 2014",3.876
"Sep 01, 2014",3.843
"Sep 08, 2014",3.816
"Sep 15, 2014",3.786
"Sep 22, 2014",3.728
"Sep 29, 2014",3.693
"Oct 06, 2014",3.666
"Oct 13, 2014",3.598
"Oct 20, 2014",3.489
"Oct 27, 2014",3.39
"Nov 03, 2014",3.3
"Nov 10, 2014",3.217
"Nov 17, 2014",3.151
"Nov 24, 2014",3.072
"Dec 01, 2014",3.047
"Dec 08, 2014",2.979
"Dec 15, 2014",2.878
"Dec 22, 2014",2.75
"Dec 29, 2014",2.68
"Jan 05, 2015",2.671
"Jan 12, 2015",2.594
"Jan 19, 2015",2.484
"Jan 26, 2015",2.44
"Feb 02, 2015",2.441
"Feb 09, 2015",2.627
"Feb 16, 2015",2.798
"Feb 23, 2015",2.959
"Mar 02, 2015",3.418
"Mar 09, 2015",3.439
